CET Marks,College Name,Branch,Timestamp
94,CS,IT,2025-03-27 10:50:23
83,RIT,Mechanical,2025-03-27 11:05:09
83.0,OBC,DKTE,Textile Chemistry,2025-03-27 11:22:45
83.0,OBC,DY Patil,Computer Science Engineering,2025-03-27 11:22:45
83.0,OBC,DKTE,Electrical Engineering,2025-03-27 11:22:45
83.0,OBC,DY Patil,Artificial Intelligence and Machine Learning,2025-03-27 11:22:45
83.0,OBC,DKTE,Textile Technology,2025-03-27 11:22:45
83.0,OBC,DY Patil,Electronics & Telecommunication Engg.,2025-03-27 11:22:45
83.0,OBC,DY Patil,Data Science,2025-03-27 11:22:45
83.0,OBC,DKTE,Mechanical Engineering,2025-03-27 11:22:45
83.0,OBC,DKTE,Man Made Textile Technology,2025-03-27 11:22:45
83.0,OBC,DKTE,Civil Engineering,2025-03-27 11:22:45
83.0,OBC,DY Patil,Chemical Engineering,2025-03-27 11:22:45
83.0,OBC,DY Patil,Mechanical Engineering,2025-03-27 11:22:45
83.0,OBC,DY Patil,Civil Engineering,2025-03-27 11:22:45
86.0,General,DKTE,Textile Chemistry,2025-03-27 11:29:38
86.0,General,DY Patil,Computer Science Engineering,2025-03-27 11:29:38
86.0,General,DKTE,Electrical Engineering,2025-03-27 11:29:38
86.0,General,DY Patil,Artificial Intelligence and Machine Learning,2025-03-27 11:29:38
86.0,General,DKTE,Textile Technology,2025-03-27 11:29:38
86.0,General,DY Patil,Electronics & Telecommunication Engg.,2025-03-27 11:29:38
86.0,General,DY Patil,Data Science,2025-03-27 11:29:38
86.0,General,DKTE,Mechanical Engineering,2025-03-27 11:29:38
86.0,General,DKTE,Man Made Textile Technology,2025-03-27 11:29:38
86.0,General,DKTE,Civil Engineering,2025-03-27 11:29:38
86.0,General,DY Patil,Chemical Engineering,2025-03-27 11:29:38
86.0,General,DY Patil,Mechanical Engineering,2025-03-27 11:29:38
86.0,General,DY Patil,Civil Engineering,2025-03-27 11:29:38
80.0,General,DKTE,Electrical Engineering,2025-03-27 11:33:53
80.0,General,DY Patil,Artificial Intelligence and Machine Learning,2025-03-27 11:33:53
80.0,General,DKTE,Textile Technology,2025-03-27 11:33:53
80.0,General,DY Patil,Electronics & Telecommunication Engg.,2025-03-27 11:33:53
80.0,General,DY Patil,Data Science,2025-03-27 11:33:53
80.0,General,DKTE,Mechanical Engineering,2025-03-27 11:33:53
80.0,General,DKTE,Man Made Textile Technology,2025-03-27 11:33:53
80.0,General,DKTE,Civil Engineering,2025-03-27 11:33:53
80.0,General,DY Patil,Chemical Engineering,2025-03-27 11:33:53
80.0,General,DY Patil,Mechanical Engineering,2025-03-27 11:33:53
